Game Mode,Challenge,Id,Guesses,Time (ms),Solve Assist
practice,normal,40627417,35,21490,false
practice,normal,40627440,33,18359,false
practice,normal,40627459,33,18480,false
practice,normal,40627479,34,19572,false
practice,normal,40627500,34,19712,false
practice,normal,40627521,33,18460,false
practice,normal,40627541,34,19863,false
practice,normal,40627562,33,18467,false
practice,normal,40627582,35,21189,false
practice,normal,40627604,33,18476,false
practice,normal,40627624,34,20327,false
practice,normal,40627645,34,20151,false
practice,normal,40627667,34,19823,false
practice,normal,40627688,33,18229,false
practice,normal,40627708,33,18160,false
practice,normal,40627727,33,18964,false
practice,normal,40627747,34,20081,false
practice,normal,40627769,34,20018,false
practice,normal,40627790,34,19681,false
practice,normal,40627811,33,18345,false
practice,normal,40627830,34,19991,false
practice,normal,40627852,34,20054,false
practice,normal,40627873,33,18313,false
practice,normal,40627892,33,18580,false
practice,normal,40627912,33,18608,false
practice,normal,40627932,34,20231,false
practice,normal,40627954,35,19995,false
practice,normal,40627975,34,20043,false
practice,normal,40627996,34,19963,false
practice,normal,40628017,34,20207,false
practice,normal,40628039,34,20354,false
practice,normal,40628061,33,18443,false
practice,normal,40628080,34,19792,false
practice,normal,40628101,34,20132,false
practice,normal,40628123,33,19001,false
practice,normal,40628143,33,18964,false
practice,normal,40628163,34,20376,false
practice,normal,40628185,33,18841,false
practice,normal,40628205,34,20028,false
practice,normal,40628227,33,18432,false
practice,normal,40628246,33,18329,false
practice,normal,40628266,34,19829,false
practice,normal,40628287,35,21147,false
practice,normal,40628309,34,19760,false
practice,normal,40628330,33,18359,false
practice,normal,40628350,33,18233,false
practice,normal,40628370,33,18474,false
practice,normal,40628389,33,18413,false
practice,normal,40628409,34,19713,false
practice,normal,40628430,34,19412,false
