Game Mode,Challenge,Id,Guesses,Time (ms),Solve Assist
practice,normal,40624987,36,30944,false
practice,normal,40625020,37,33516,false
practice,normal,40625056,36,31156,false
practice,normal,40625089,36,31592,false
practice,normal,40625122,37,36646,false
practice,normal,40625161,36,32851,false
practice,normal,40625196,37,35366,false
practice,normal,40625234,37,35140,false
practice,normal,40625271,37,35058,false
practice,normal,40625308,37,35482,false
practice,normal,40625346,,35106,false
practice,normal,40625383,37,34774,false
practice,normal,40625420,37,35171,false
practice,normal,40625457,37,34655,false
practice,normal,40625494,37,34976,false
practice,normal,40625531,37,35484,false
practice,normal,40625569,37,35406,false
practice,normal,40625606,37,35091,false
practice,normal,40625644,37,35188,false
practice,normal,40625681,37,35674,false
practice,normal,40625719,37,34662,false
practice,normal,40625756,37,34881,false
practice,normal,40625793,37,34930,false
practice,normal,40625830,37,35191,false
practice,normal,40625867,37,37804,false
practice,normal,40625907,37,35188,false
practice,normal,40625945,37,34884,false
practice,normal,40625982,37,35106,false
practice,normal,40626019,37,35181,false
practice,normal,40626056,37,34751,false
practice,normal,40626093,37,35008,false
practice,normal,40626130,36,32295,false
practice,normal,40626165,37,34779,false
practice,normal,40626202,37,34543,false
practice,normal,40626238,37,33745,false
practice,normal,40626274,37,35982,false
practice,normal,40626312,37,36184,false
practice,normal,40626351,37,36004,false
practice,normal,40626389,37,34823,false
practice,normal,40626426,37,34737,false
practice,normal,40626463,37,36860,false
practice,normal,40626502,37,33710,false
practice,normal,40626538,37,34284,false
practice,normal,40626574,37,34383,false
practice,normal,40626611,37,33961,false
practice,normal,40626647,37,34747,false
practice,normal,40626684,37,33706,false
practice,normal,40626719,37,34527,false
practice,normal,40626756,37,33771,false
practice,normal,40626792,36,31424,false
