Game Mode,Challenge,Id,Guesses,Time (ms),Solve Assist
practice,normal,40606272,33,18668,false
practice,normal,40606293,34,19527,false
practice,normal,40606313,34,19631,false
practice,normal,40606334,33,18211,false
practice,normal,40606354,33,18186,false
practice,normal,40606373,33,18207,false
practice,normal,40606392,34,20829,false
practice,normal,40606415,35,21794,false
practice,normal,40606438,34,19925,false
practice,normal,40606459,34,20008,false
practice,normal,40606480,33,18898,false
practice,normal,40606501,34,19595,false
practice,normal,40606522,34,19425,false
practice,normal,40606542,34,19594,false
practice,normal,40606563,34,19645,false
practice,normal,40606584,34,19487,false
practice,normal,40606605,34,20288,false
practice,normal,40606626,34,19742,false
practice,normal,40606647,34,19896,false
practice,normal,40606669,34,19865,false
practice,normal,40606690,33,17973,false
practice,normal,40606709,33,18555,false
practice,normal,40606729,34,19795,false
practice,normal,40606750,34,19896,false
practice,normal,40606771,34,21060,false
practice,normal,40606793,33,18423,false
practice,normal,40606813,35,21879,false
practice,normal,40606836,34,19896,false
practice,normal,40606858,34,19844,false
practice,normal,40606879,33,18292,false
practice,normal,40606898,34,20007,false
practice,normal,40606920,34,19683,false
practice,normal,40606941,33,18115,false
practice,normal,40606960,33,18259,false
practice,normal,40606979,34,19741,false
practice,normal,40607000,33,18368,false
practice,normal,40607020,33,18379,false
practice,normal,40607040,34,19507,false
practice,normal,40607061,33,18559,false
practice,normal,40607080,33,18395,false
practice,normal,40607100,34,19531,false
practice,normal,40607121,34,19643,false
practice,normal,40607142,33,18161,false
practice,normal,40607161,35,21445,false
practice,normal,40607184,33,17891,false
practice,normal,40607203,33,18259,false
practice,normal,40607222,34,19784,false
practice,normal,40607244,34,19765,false
practice,normal,40607265,34,19824,false
practice,normal,40607286,33,18190,false
